player_name,team,year,home_run_rate,label,batting_side,throwing_hand,height,weight,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,IBB,onbase_plus_slugging,TB,GIDP,HBP,SH,SF
Sun Woo Oh,Kia Tigers,2023,0.06451612903225806,Kia Tigers-2023-Sun Woo Oh,L,L,"6' 1""",209,26,33,31,28,2,5,0,0,2,5,0,0,3,15,0.179,0.258,0.393,0,0.651,11,0,0,0,0
Chan-Ho Park,Kia Tigers,2023,0.005917159763313609,Kia Tigers-2023-Chan-Ho Park,R,R,"5' 10""",156,28,130,507,452,73,136,18,4,3,52,30,8,40,56,0.301,0.356,0.378,0,0.734,171,13,2,7,6
Jung Woo Park,Kia Tigers,2023,0.0,Kia Tigers-2023-Jung Woo Park,L,L,"5' 8""",149,25,21,12,9,2,3,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0,0.667,3,0,0,3,0
Beom Soo Shin,Kia Tigers,2023,0.02,Kia Tigers-2023-Beom Soo Shin,L,R,"5' 9""",182,25,36,100,88,7,15,3,0,2,10,0,0,7,19,0.171,0.245,0.273,0,0.518,24,3,2,2,1
Do Hyun Yoon,Kia Tigers,2023,0.0,Kia Tigers-2023-Do Hyun Yoon,R,R,"5' 11""",185,20,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0
Sócrates Brito,Kia Tigers,2024,0.04318936877076412,Kia Tigers-2024-Sócrates Brito,L,L,"6' 2""",205,31,140,602,552,92,171,30,3,26,97,13,5,41,91,0.31,0.359,0.516,4,0.875,285,7,4,0,5
Woo-hyuk Byun,Kia Tigers,2024,0.026737967914438502,Kia Tigers-2024-Woo-hyuk Byun,R,R,"6' 0""",209,24,69,187,168,22,51,9,2,5,21,1,0,16,48,0.304,0.369,0.47,0,0.839,79,8,2,0,1
Hyoung Woo Choi,Kia Tigers,2024,0.045174537987679675,Kia Tigers-2024-Hyoung Woo Choi,L,R,"5' 10""",233,40,116,487,425,67,119,23,2,22,109,1,1,52,86,0.28,0.361,0.499,4,0.86,212,5,5,0,5
Jeong Yong Choi,Kia Tigers,2024,0.0,Kia Tigers-2024-Jeong Yong Choi,L,R,"5' 10""",165,27,6,12,11,0,2,0,0,0,1,0,0,1,4,0.182,0.25,0.182,0,0.432,2,1,0,0,0
Won Jun Choi,Kia Tigers,2024,0.017716535433070866,Kia Tigers-2024-Won Jun Choi,L,R,"5' 10""",187,27,136,508,438,75,128,23,3,9,56,21,9,50,66,0.292,0.371,0.42,0,0.791,184,6,8,7,5
Joon-soon Han,Kia Tigers,2024,0.022151898734177215,Kia Tigers-2024-Joon-soon Han,L,R,"6' 0""",209,25,115,316,287,39,88,22,0,7,41,0,0,21,48,0.307,0.351,0.456,1,0.808,131,7,2,0,6
Seung Taek Han,Kia Tigers,2024,0.0,Kia Tigers-2024-Seung Taek Han,R,R,"5' 8""",182,30,20,15,11,2,3,0,0,0,2,0,0,4,1,0.273,0.467,0.273,0,0.739,3,0,0,0,0
Jong Pyo Hong,Kia Tigers,2024,0.0,Kia Tigers-2024-Jong Pyo Hong,L,R,"5' 9""",158,24,100,115,105,27,31,4,3,0,11,5,2,6,31,0.295,0.339,0.391,0,0.73,41,0,1,3,0
Dae In Hwang,Kia Tigers,2024,0.0,Kia Tigers-2024-Dae In Hwang,R,R,"5' 10""",220,28,3,7,7,1,2,1,0,0,3,0,0,0,1,0.286,0.286,0.429,0,0.714,3,0,0,0,0
Do Yeong Kim,Kia Tigers,2024,0.0608,Kia Tigers-2024-Do Yeong Kim,R,R,"6' 0""",187,20,141,625,544,143,189,29,10,38,109,40,4,66,110,0.347,0.42,0.647,7,1.067,352,10,7,1,7
Doo Hyun Kim,Kia Tigers,2024,0.0,Kia Tigers-2024-Doo Hyun Kim,R,R,"5' 9""",167,21,3,6,5,2,2,0,0,0,0,0,0,0,0,0.4,0.5,0.4,0,0.9,2,0,1,0,0
Ho Ryung Kim,Kia Tigers,2024,0.014925373134328358,Kia Tigers-2024-Ho Ryung Kim,R,R,"5' 10""",187,32,64,67,59,12,8,2,0,1,4,3,2,8,25,0.136,0.239,0.22,0,0.459,13,1,0,0,0
Kyu Sung Kim,Kia Tigers,2024,0.0,Kia Tigers-2024-Kyu Sung Kim,L,R,"6' 0""",160,27,27,15,12,5,3,1,0,0,2,1,0,2,4,0.25,0.357,0.333,0,0.69,4,0,0,1,0
Sun Bin Kim,Kia Tigers,2024,0.01935483870967742,Kia Tigers-2024-Sun Bin Kim,R,R,"5' 4""",169,34,116,465,423,48,139,23,0,9,57,5,1,30,39,0.329,0.38,0.447,0,0.827,189,13,5,7,0
Tae-gun Kim,Kia Tigers,2024,0.025925925925925925,Kia Tigers-2024-Tae-gun Kim,R,R,"5' 10""",158,34,105,270,235,24,62,7,0,7,34,0,0,12,24,0.264,0.328,0.383,0,0.711,90,14,11,11,1
Jong Wook Ko,Kia Tigers,2024,0.027777777777777776,Kia Tigers-2024-Jong Wook Ko,L,R,"6' 0""",182,35,28,36,32,3,8,2,0,1,4,0,0,4,6,0.25,0.333,0.406,0,0.74,13,2,0,0,0
Chang Jin Lee,Kia Tigers,2024,0.004048582995951417,Kia Tigers-2024-Chang Jin Lee,R,R,"5' 8""",187,33,103,247,191,36,50,10,0,1,18,4,3,45,36,0.262,0.401,0.33,0,0.731,63,6,2,5,4
Woo Sung Lee,Kia Tigers,2024,0.0200445434298441,Kia Tigers-2024-Woo Sung Lee,R,R,"5' 11""",209,29,112,449,399,56,115,16,1,9,54,7,1,44,89,0.288,0.361,0.401,0,0.762,160,17,3,0,3
Sung Bum Na,Kia Tigers,2024,0.04964539007092199,Kia Tigers-2024-Sung Bum Na,L,L,"6' 0""",220,34,102,423,374,51,109,17,1,21,80,0,0,38,98,0.291,0.357,0.511,1,0.868,191,8,4,0,7
Sun Woo Oh,Kia Tigers,2024,0.0,Kia Tigers-2024-Sun Woo Oh,L,L,"6' 1""",209,27,3,7,7,0,2,0,0,0,1,0,0,0,3,0.286,0.286,0.286,0,0.571,2,0,0,0,0
Chan-Ho Park,Kia Tigers,2024,0.008665511265164644,Kia Tigers-2024-Chan-Ho Park,R,R,"5' 10""",156,29,134,577,515,86,158,24,1,5,61,20,13,48,44,0.307,0.363,0.386,1,0.75,199,9,1,7,6
Jung Woo Park,Kia Tigers,2024,0.0,Kia Tigers-2024-Jung Woo Park,L,L,"5' 8""",149,26,66,69,65,17,20,3,1,0,11,0,1,4,14,0.308,0.348,0.385,0,0.732,25,3,0,0,0
Min Park,Kia Tigers,2024,0.0,Kia Tigers-2024-Min Park,R,R,"6' 0""",185,23,16,30,29,5,8,4,0,0,2,0,1,1,7,0.276,0.3,0.414,0,0.714,12,0,0,0,0
Geon-chang Seo,Kia Tigers,2024,0.004032258064516129,Kia Tigers-2024-Geon-chang Seo,L,R,"5' 8""",154,34,94,248,203,40,63,14,1,1,26,3,1,36,31,0.31,0.416,0.404,0,0.82,82,2,3,3,3
Do Hyun Yoon,Kia Tigers,2024,0.037037037037037035,Kia Tigers-2024-Do Hyun Yoon,R,R,"5' 11""",185,21,6,27,27,5,11,2,0,1,8,1,0,0,9,0.407,0.407,0.593,0,1.0,16,0,0,0,0
Dong Hoon Baek,Doosan Bears,2018,0.029411764705882353,Doosan Bears-2018-Dong Hoon Baek,R,R,"6' 0""",216,27,23,34,27,7,6,2,0,1,4,0,0,5,11,0.222,0.353,0.407,0,0.76,11,1,1,0,1
Joo Hwan Choi,Doosan Bears,2018,0.04406779661016949,Doosan Bears-2018-Joo Hwan Choi,L,R,"5' 10""",160,30,138,590,519,87,173,39,6,26,108,1,0,51,89,0.333,0.397,0.582,1,0.979,302,5,10,0,10
Kyeong-min Ho,Doosan Bears,2018,0.01733102253032929,Doosan Bears-2018-Kyeong-min Ho,R,R,"5' 9""",185,27,133,577,516,85,167,30,5,10,79,20,4,32,52,0.324,0.376,0.459,0,0.835,237,15,16,5,8
Kyeong Tae Hwang,Doosan Bears,2018,0.0,Doosan Bears-2018-Kyeong Tae Hwang,R,R,"5' 11""",169,21,27,13,13,9,3,2,0,0,0,0,1,0,3,0.231,0.231,0.385,0,0.615,5,0,0,0,0
