player_name,team,year,home_run_rate,label,batting_side,throwing_hand,height,weight,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,IBB,onbase_plus_slugging,TB,GIDP,HBP,SH,SF
Ju Suk Ha,Hanwha Eagles,2019,0.0,Hanwha Eagles-2019-Ju Suk Ha,L,R,"6' 0""",185,25,5,20,19,3,5,2,0,0,2,0,0,0,4,0.263,0.263,0.368,0,0.632,7,1,0,1,0
Jared Hoying,Hanwha Eagles,2019,0.03428571428571429,Hanwha Eagles-2019-Jared Hoying,L,R,"6' 3""",205,30,124,525,476,74,135,26,2,18,73,22,7,38,90,0.284,0.34,0.46,5,0.8,219,6,5,1,5
Jin Hyuk Jang,Hanwha Eagles,2019,0.0028653295128939827,Hanwha Eagles-2019-Jin Hyuk Jang,L,R,"6' 0""",182,25,113,349,315,42,80,16,5,1,24,13,5,26,74,0.254,0.32,0.346,0,0.666,109,4,5,2,1
Woon Ho Jang,Hanwha Eagles,2019,0.0,Hanwha Eagles-2019-Woon Ho Jang,R,R,"6' 0""",187,25,7,12,10,2,1,0,0,0,0,0,1,1,1,0.1,0.182,0.1,0,0.282,1,0,0,1,0
Si Wan Ji,Hanwha Eagles,2019,0.01834862385321101,Hanwha Eagles-2019-Si Wan Ji,R,R,"5' 10""",202,25,58,109,104,7,26,6,0,2,11,0,0,5,21,0.25,0.284,0.365,0,0.65,38,3,0,0,0
Eun Won Jung,Hanwha Eagles,2019,0.01282051282051282,Hanwha Eagles-2019-Eun Won Jung,L,R,"5' 9""",171,19,142,624,564,83,148,27,6,8,57,14,7,48,101,0.262,0.317,0.374,0,0.691,211,6,0,6,6
Kyung Hak Kang,Hanwha Eagles,2019,0.0,Hanwha Eagles-2019-Kyung Hak Kang,L,R,"5' 10""",158,26,52,135,113,21,27,4,0,0,12,1,2,15,32,0.239,0.341,0.274,0,0.615,31,3,3,3,1
Chang-hyeok Kim,Hanwha Eagles,2019,0.0,Hanwha Eagles-2019-Chang-hyeok Kim,R,R,"5' 10""",176,28,3,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0
Hea Sung Kim,Hanwha Eagles,2019,0.02564102564102564,Hanwha Eagles-2019-Hea Sung Kim,R,R,"6' 2""",202,33,58,117,104,7,24,4,0,3,18,2,1,11,24,0.231,0.302,0.356,0,0.658,37,1,0,1,1
In-hwan Kim,Hanwha Eagles,2019,0.0,Hanwha Eagles-2019-In-hwan Kim,L,R,"6' 1""",194,25,18,46,42,1,9,1,0,0,2,0,0,2,9,0.214,0.239,0.238,0,0.477,10,0,0,0,2
Jong Min Kim,Hanwha Eagles,2019,0.047619047619047616,Hanwha Eagles-2019-Jong Min Kim,R,R,"5' 9""",187,33,10,21,20,2,4,0,0,1,1,0,0,0,7,0.2,0.2,0.35,0,0.55,7,1,0,1,0
Min Ha Kim,Hanwha Eagles,2019,0.014285714285714285,Hanwha Eagles-2019-Min Ha Kim,R,R,"5' 11""",194,30,72,140,125,14,32,6,0,2,14,5,2,9,41,0.256,0.319,0.352,0,0.671,44,4,3,2,1
Tae Yean Kim,Hanwha Eagles,2019,0.0,Hanwha Eagles-2019-Tae Yean Kim,R,R,"5' 10""",218,22,9,6,4,0,1,1,0,0,0,0,0,2,2,0.25,0.5,0.5,0,1.0,2,0,0,0,0
Tae-Kyun Kim,Hanwha Eagles,2019,0.012,Hanwha Eagles-2019-Tae-Kyun Kim,R,R,"6' 0""",220,37,127,500,433,47,132,21,0,6,62,3,0,54,94,0.305,0.382,0.395,5,0.777,171,15,5,0,8
Chang Yeol Lee,Hanwha Eagles,2019,0.0,Hanwha Eagles-2019-Chang Yeol Lee,L,R,"5' 8""",154,27,11,16,13,3,2,0,0,0,1,0,0,1,5,0.154,0.267,0.154,0,0.421,2,1,1,1,0
Dong Hun Lee,Hanwha Eagles,2019,0.0,Hanwha Eagles-2019-Dong Hun Lee,L,L,"5' 10""",158,22,14,31,31,3,9,1,0,0,4,3,0,0,8,0.29,0.29,0.323,0,0.613,10,1,0,0,0
Sung Yul Lee,Hanwha Eagles,2019,0.04411764705882353,Hanwha Eagles-2019-Sung Yul Lee,L,R,"6' 0""",224,34,129,476,414,60,106,21,1,21,85,8,4,48,114,0.256,0.343,0.464,1,0.807,192,7,9,1,4
Won Seok Lee,Hanwha Eagles,2019,0.0,Hanwha Eagles-2019-Won Seok Lee,R,R,"5' 9""",154,20,13,9,6,3,0,0,0,0,0,2,0,2,5,0.0,0.333,0.0,0,0.333,0,0,1,0,0
Sun Jin Oh,Hanwha Eagles,2019,0.006622516556291391,Hanwha Eagles-2019-Sun Jin Oh,R,R,"5' 10""",176,29,122,453,392,37,88,16,0,3,36,7,2,38,72,0.225,0.307,0.288,0,0.595,113,8,10,10,3
Han Gyeol Park,Hanwha Eagles,2019,0.0,Hanwha Eagles-2019-Han Gyeol Park,R,R,"6' 0""",167,24,9,11,11,0,2,0,0,0,0,0,1,0,4,0.182,0.182,0.182,0,0.364,2,1,0,0,0
Jun Hyuck Park,Hanwha Eagles,2019,0.0,Hanwha Eagles-2019-Jun Hyuck Park,L,R,"6' 2""",200,28,4,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0
Sang Un Park,Hanwha Eagles,2019,0.0,Hanwha Eagles-2019-Sang Un Park,R,R,"6' 0""",165,22,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0
Si Hwan Roh,Hanwha Eagles,2019,0.005208333333333333,Hanwha Eagles-2019-Si Hwan Roh,R,R,"6' 0""",211,18,91,192,177,19,33,8,1,1,13,2,2,11,72,0.186,0.241,0.26,0,0.501,46,3,2,1,1
Kwang Min Song,Hanwha Eagles,2019,0.01440329218106996,Hanwha Eagles-2019-Kwang Min Song,R,R,"6' 0""",198,36,122,486,454,50,120,21,0,7,51,8,2,21,91,0.264,0.298,0.357,0,0.655,162,18,3,3,5
Sung Woo Yang,Hanwha Eagles,2019,0.007751937984496124,Hanwha Eagles-2019-Sung Woo Yang,L,R,"5' 8""",185,30,56,129,119,11,20,3,0,1,6,1,0,9,28,0.168,0.227,0.219,0,0.445,26,2,0,1,0
Jang Hyeok Yoo,Hanwha Eagles,2019,0.01639344262295082,Hanwha Eagles-2019-Jang Hyeok Yoo,R,R,"6' 1""",189,19,38,61,55,10,9,1,0,1,4,3,0,5,17,0.164,0.23,0.236,0,0.466,13,0,0,0,1
Brandon Barnes,Hanwha Eagles,2020,0.02821316614420063,Hanwha Eagles-2020-Brandon Barnes,R,R,"6' 2""",210,34,74,319,283,38,75,17,1,9,42,2,1,27,81,0.265,0.342,0.428,1,0.769,121,4,7,0,2
In Ho Choi,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-In Ho Choi,L,R,"5' 10""",180,20,47,135,127,8,30,0,0,0,8,0,0,4,34,0.236,0.261,0.236,0,0.497,30,3,1,1,2
Jae Hoon Choi,Hanwha Eagles,2020,0.007712082262210797,Hanwha Eagles-2020-Jae Hoon Choi,R,R,"5' 10""",167,30,126,389,339,46,102,19,0,3,36,0,0,29,44,0.301,0.383,0.384,0,0.766,130,7,16,5,0
Jin Hang Choi,Hanwha Eagles,2020,0.03333333333333333,Hanwha Eagles-2020-Jin Hang Choi,R,R,"6' 2""",220,34,84,240,214,23,50,5,0,8,30,0,0,18,59,0.234,0.304,0.369,0,0.673,79,11,5,0,3
Seung Jun Choi,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-Seung Jun Choi,R,R,"6' 2""",194,32,2,4,3,1,1,0,0,0,1,0,0,0,2,0.333,0.5,0.333,0,0.833,1,0,1,0,0
Ju Suk Ha,Hanwha Eagles,2020,0.0071174377224199285,Hanwha Eagles-2020-Ju Suk Ha,L,R,"6' 0""",185,26,72,281,262,22,75,11,0,2,32,4,1,13,66,0.286,0.323,0.351,0,0.674,92,3,2,2,2
Gwan Hoe Heo,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-Gwan Hoe Heo,R,R,"5' 9""",182,21,1,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0,1.0,1,0,0,0,0
Jared Hoying,Hanwha Eagles,2020,0.029850746268656716,Hanwha Eagles-2020-Jared Hoying,L,R,"6' 3""",205,31,34,134,124,12,24,4,0,4,14,5,3,9,34,0.194,0.254,0.323,0,0.576,40,4,1,0,0
Jin Hyuk Jang,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-Jin Hyuk Jang,L,R,"6' 0""",182,26,19,37,32,2,5,0,1,0,1,2,1,5,6,0.156,0.27,0.219,0,0.489,7,0,0,0,0
Woon Ho Jang,Hanwha Eagles,2020,0.034482758620689655,Hanwha Eagles-2020-Woon Ho Jang,R,R,"6' 0""",187,26,24,29,27,5,4,1,0,1,4,0,0,2,9,0.148,0.207,0.296,0,0.503,8,0,0,0,0
Gi Hun Jeong,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-Gi Hun Jeong,L,R,"6' 0""",171,25,29,36,31,9,5,2,0,0,2,0,1,3,15,0.161,0.278,0.226,0,0.504,7,0,2,0,0
Han Min Jo,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-Han Min Jo,R,R,"5' 11""",169,19,25,52,50,7,11,4,0,0,2,0,0,0,22,0.22,0.25,0.3,0,0.55,15,0,2,0,0
Eun Won Jung,Hanwha Eagles,2020,0.009900990099009901,Hanwha Eagles-2020-Eun Won Jung,L,R,"5' 9""",171,20,79,303,254,28,63,9,2,3,29,1,1,41,41,0.248,0.362,0.335,0,0.697,85,4,5,2,1
Jin Ho Jung,Hanwha Eagles,2020,0.006134969325153374,Hanwha Eagles-2020-Jin Ho Jung,L,R,"6' 0""",171,31,113,326,282,30,78,14,1,2,19,9,7,29,50,0.277,0.348,0.355,1,0.703,100,5,3,10,2
Kyung Hak Kang,Hanwha Eagles,2020,0.01680672268907563,Hanwha Eagles-2020-Kyung Hak Kang,L,R,"5' 10""",158,27,94,238,193,25,44,7,1,4,19,1,2,35,64,0.228,0.352,0.337,0,0.689,65,2,3,5,2
Hea Sung Kim,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-Hea Sung Kim,R,R,"6' 2""",202,34,15,25,18,1,3,1,0,0,1,0,0,3,6,0.167,0.304,0.222,0,0.527,4,2,1,2,1
Hyun Min Kim,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-Hyun Min Kim,R,R,"6' 0""",180,20,4,5,5,2,2,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0,0.8,2,0,0,0,0
Ji Soo Kim,Hanwha Eagles,2020,0.038461538461538464,Hanwha Eagles-2020-Ji Soo Kim,L,L,"5' 10""",171,23,14,26,25,2,4,0,0,1,4,0,0,1,7,0.16,0.192,0.28,0,0.472,7,0,0,0,0
Jin Wook Kim,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-Jin Wook Kim,R,R,"5' 9""",174,20,22,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0
Min Ha Kim,Hanwha Eagles,2020,0.011764705882352941,Hanwha Eagles-2020-Min Ha Kim,R,R,"5' 11""",194,31,36,85,74,10,21,6,0,1,11,0,0,8,16,0.284,0.369,0.405,0,0.774,30,2,2,1,0
Moon Ho Kim,Hanwha Eagles,2020,0.038461538461538464,Hanwha Eagles-2020-Moon Ho Kim,L,L,"6' 0""",224,33,18,52,46,6,10,1,0,2,5,0,0,5,11,0.217,0.308,0.37,0,0.677,17,1,1,0,0
Tae-Kyun Kim,Hanwha Eagles,2020,0.007874015748031496,Hanwha Eagles-2020-Tae-Kyun Kim,R,R,"6' 0""",220,38,67,254,219,14,48,11,0,2,29,0,0,30,42,0.219,0.316,0.297,3,0.613,65,8,2,1,2
Do Yun Lee,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-Do Yun Lee,L,R,"5' 8""",156,23,14,25,24,3,5,1,0,0,1,0,0,1,6,0.208,0.24,0.25,0,0.49,6,0,0,0,0
Dong Hun Lee,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-Dong Hun Lee,L,L,"5' 10""",158,23,37,39,38,5,4,0,0,0,1,0,0,0,14,0.105,0.128,0.105,0,0.234,4,0,1,0,0
Hae Chang Lee,Hanwha Eagles,2020,0.022222222222222223,Hanwha Eagles-2020-Hae Chang Lee,R,R,"6' 0""",187,33,70,135,119,11,32,5,0,3,17,0,2,9,23,0.269,0.336,0.387,0,0.722,46,6,4,1,2
Sung Yul Lee,Hanwha Eagles,2020,0.03225806451612903,Hanwha Eagles-2020-Sung Yul Lee,L,R,"6' 0""",224,35,79,248,227,23,46,5,0,8,34,1,1,16,69,0.203,0.27,0.33,0,0.601,75,4,5,0,0
Yong-gyu Lee,Hanwha Eagles,2020,0.002053388090349076,Hanwha Eagles-2020-Yong-gyu Lee,L,L,"5' 9""",155,34,120,487,419,60,120,14,2,1,32,17,8,59,36,0.286,0.381,0.337,0,0.718,141,9,6,2,1
Jong Chan Lim,Hanwha Eagles,2020,0.008403361344537815,Hanwha Eagles-2020-Jong Chan Lim,L,R,"6' 0""",187,18,52,119,108,5,25,5,0,1,12,0,1,9,38,0.232,0.297,0.306,0,0.602,33,2,1,1,0
Tae Hyeong Noh,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-Tae Hyeong Noh,L,R,"5' 11""",163,25,55,113,102,14,22,4,1,0,6,0,1,7,31,0.216,0.286,0.275,0,0.56,28,0,3,1,0
Sun Jin Oh,Hanwha Eagles,2020,0.009009009009009009,Hanwha Eagles-2020-Sun Jin Oh,R,R,"5' 10""",176,30,93,222,197,17,46,4,0,2,17,0,1,16,39,0.234,0.301,0.284,0,0.585,56,10,3,6,0
Han Gyeol Park,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-Han Gyeol Park,R,R,"6' 0""",167,25,13,24,20,5,3,0,0,0,1,0,0,2,8,0.15,0.227,0.15,0,0.377,3,2,0,2,0
Jung Hyun Park,Hanwha Eagles,2020,0.015625,Hanwha Eagles-2020-Jung Hyun Park,R,R,"6' 0""",187,18,30,64,61,6,17,3,0,1,9,0,0,3,17,0.279,0.313,0.377,0,0.69,23,2,0,0,0
Sang Un Park,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-Sang Un Park,R,R,"6' 0""",165,23,38,47,46,4,10,3,0,0,2,0,0,0,16,0.217,0.234,0.283,0,0.517,13,1,1,0,0
Si Hwan Roh,Hanwha Eagles,2020,0.031007751937984496,Hanwha Eagles-2020-Si Hwan Roh,R,R,"6' 0""",211,19,106,387,346,46,76,18,2,12,43,0,1,33,116,0.22,0.298,0.387,1,0.685,134,8,6,1,1
Kwang Min Song,Hanwha Eagles,2020,0.030201342281879196,Hanwha Eagles-2020-Kwang Min Song,R,R,"6' 0""",198,37,94,298,277,31,65,12,0,9,43,0,0,14,69,0.235,0.276,0.376,1,0.652,104,17,3,1,3
Sung Woo Yang,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-Sung Woo Yang,L,R,"5' 8""",185,31,5,9,9,1,2,0,0,0,0,0,0,0,3,0.222,0.222,0.222,0,0.444,2,0,0,0,0
Jang Hyeok Yoo,Hanwha Eagles,2020,0.0,Hanwha Eagles-2020-Jang Hyeok Yoo,R,R,"6' 1""",189,20,30,46,42,3,7,1,0,0,0,0,1,4,18,0.167,0.239,0.191,0,0.43,8,0,0,0,0
Kyu Hyun Chang,Hanwha Eagles,2021,0.0,Hanwha Eagles-2021-Kyu Hyun Chang,L,R,"6' 0""",211,19,7,12,12,0,3,1,0,0,1,0,0,0,4,0.25,0.25,0.333,0,0.583,4,1,0,0,0
In Ho Choi,Hanwha Eagles,2021,0.024390243902439025,Hanwha Eagles-2021-In Ho Choi,L,R,"5' 10""",180,21,49,164,136,17,28,6,0,4,23,2,1,24,43,0.206,0.329,0.338,0,0.668,46,1,2,0,2
Jae Hoon Choi,Hanwha Eagles,2021,0.014989293361884369,Hanwha Eagles-2021-Jae Hoon Choi,R,R,"5' 10""",167,31,116,467,375,52,103,21,0,7,44,3,2,72,68,0.275,0.405,0.387,2,0.792,145,16,12,5,3
Ju Suk Ha,Hanwha Eagles,2021,0.016835016835016835,Hanwha Eagles-2021-Ju Suk Ha,L,R,"6' 0""",185,27,138,594,525,84,143,27,3,10,68,23,6,51,135,0.272,0.346,0.392,1,0.739,206,9,10,5,3
Ryon Healy,Hanwha Eagles,2021,0.026119402985074626,Hanwha Eagles-2021-Ryon Healy,R,R,"6' 4""",230,29,67,268,249,27,64,11,1,7,37,2,1,16,58,0.257,0.306,0.394,0,0.7,98,6,2,0,1
Gwan Hoe Heo,Hanwha Eagles,2021,0.0,Hanwha Eagles-2021-Gwan Hoe Heo,R,R,"5' 9""",182,22,28,79,63,4,12,0,0,0,2,0,0,13,22,0.191,0.329,0.191,0,0.52,12,1,1,0,2
Jee Seung Jang,Hanwha Eagles,2021,0.013888888888888888,Hanwha Eagles-2021-Jee Seung Jang,R,R,"6' 0""",198,22,24,72,61,7,11,1,0,1,5,2,0,7,24,0.18,0.271,0.246,0,0.517,15,4,1,2,1
Woon Ho Jang,Hanwha Eagles,2021,0.0,Hanwha Eagles-2021-Woon Ho Jang,R,R,"6' 0""",187,27,103,338,285,36,67,10,0,0,28,3,6,36,77,0.235,0.332,0.27,0,0.603,77,7,7,7,3
Min Kyu Jeong,Hanwha Eagles,2021,0.0,Hanwha Eagles-2021-Min Kyu Jeong,R,R,"6' 0""",209,18,6,17,16,1,2,1,0,0,0,0,0,1,6,0.125,0.177,0.188,0,0.364,3,1,0,0,0
Han Min Jo,Hanwha Eagles,2021,0.034482758620689655,Hanwha Eagles-2021-Han Min Jo,R,R,"5' 11""",169,20,52,145,127,15,25,6,2,5,18,3,2,13,57,0.197,0.278,0.394,0,0.672,50,4,2,1,2
Eun Won Jung,Hanwha Eagles,2021,0.009868421052631578,Hanwha Eagles-2021-Eun Won Jung,L,R,"5' 9""",171,21,139,608,495,85,140,22,5,6,39,19,11,105,105,0.283,0.407,0.384,1,0.791,190,9,1,4,3
Jin Ho Jung,Hanwha Eagles,2021,0.0,Hanwha Eagles-2021-Jin Ho Jung,L,R,"6' 0""",171,32,47,167,145,9,33,9,0,0,15,4,1,15,22,0.228,0.301,0.29,1,0.59,42,5,1,4,2
Sang Won Kang,Hanwha Eagles,2021,0.0,Hanwha Eagles-2021-Sang Won Kang,L,R,"5' 7""",141,24,35,49,37,7,4,0,0,0,2,3,0,9,11,0.108,0.298,0.108,0,0.406,4,0,1,2,0
Hyun Min Kim,Hanwha Eagles,2021,0.0,Hanwha Eagles-2021-Hyun Min Kim,R,R,"6' 0""",180,21,5,12,12,0,1,0,0,0,0,0,0,0,4,0.083,0.083,0.083,0,0.167,1,0,0,0,0
Ji Soo Kim,Hanwha Eagles,2021,0.0,Hanwha Eagles-2021-Ji Soo Kim,L,L,"5' 10""",171,24,11,25,24,0,2,1,0,0,0,0,0,1,14,0.083,0.12,0.125,0,0.245,3,0,0,0,0
Min Ha Kim,Hanwha Eagles,2021,0.007042253521126761,Hanwha Eagles-2021-Min Ha Kim,R,R,"5' 11""",194,32,46,142,115,14,24,4,1,1,17,6,3,17,36,0.209,0.345,0.287,0,0.632,33,3,8,0,2
Tae Yean Kim,Hanwha Eagles,2021,0.013636363636363636,Hanwha Eagles-2021-Tae Yean Kim,R,R,"5' 10""",218,24,53,220,176,29,53,12,0,3,34,5,3,34,44,0.301,0.418,0.421,0,0.839,74,4,5,0,5
Do Yun Lee,Hanwha Eagles,2021,0.0,Hanwha Eagles-2021-Do Yun Lee,L,R,"5' 8""",156,24,56,68,63,5,11,0,0,0,2,1,2,4,18,0.175,0.224,0.175,0,0.399,11,1,0,1,0
Dong Hun Lee,Hanwha Eagles,2021,0.0,Hanwha Eagles-2021-Dong Hun Lee,L,L,"5' 10""",158,24,33,62,53,8,10,1,0,0,2,2,2,3,12,0.189,0.259,0.208,0,0.466,11,2,2,4,0
Hae Chang Lee,Hanwha Eagles,2021,0.0,Hanwha Eagles-2021-Hae Chang Lee,R,R,"6' 0""",187,34,20,60,54,4,9,3,0,0,4,0,1,1,13,0.167,0.193,0.222,0,0.415,12,0,1,3,1
Sung Yul Lee,Hanwha Eagles,2021,0.014285714285714285,Hanwha Eagles-2021-Sung Yul Lee,L,R,"6' 0""",224,36,46,140,119,15,25,8,0,2,20,1,0,18,36,0.21,0.314,0.328,0,0.642,39,2,1,0,2
Won Seok Lee,Hanwha Eagles,2021,0.007692307692307693,Hanwha Eagles-2021-Won Seok Lee,R,R,"5' 9""",154,22,43,130,114,12,20,1,1,1,9,4,2,8,43,0.175,0.238,0.228,0,0.466,26,1,2,4,2
Jong Chan Lim,Hanwha Eagles,2021,0.00684931506849315,Hanwha Eagles-2021-Jong Chan Lim,L,R,"6' 0""",187,19,42,146,131,9,20,5,0,1,8,0,1,12,49,0.153,0.229,0.214,0,0.443,28,2,1,2,0
Tae Hyeong Noh,Hanwha Eagles,2021,0.0,Hanwha Eagles-2021-Tae Hyeong Noh,L,R,"5' 11""",163,26,18,49,43,6,5,1,0,0,1,0,0,6,15,0.116,0.225,0.14,0,0.364,6,0,0,0,0
Jung Hyun Park,Hanwha Eagles,2021,0.0,Hanwha Eagles-2021-Jung Hyun Park,R,R,"6' 0""",187,19,33,120,107,10,21,4,0,0,9,1,0,9,32,0.196,0.256,0.234,0,0.49,25,1,0,3,1
Sang Un Park,Hanwha Eagles,2021,0.0,Hanwha Eagles-2021-Sang Un Park,R,R,"6' 0""",165,24,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0
Hernán Pérez,Hanwha Eagles,2021,0.01984126984126984,Hanwha Eagles-2021-Hernán Pérez,R,R,"6' 0""",213,30,59,252,224,26,60,15,1,5,33,4,5,17,52,0.268,0.321,0.411,0,0.732,92,4,4,0,7
Soo Kwang Ro,Hanwha Eagles,2021,0.016666666666666666,Hanwha Eagles-2021-Soo Kwang Ro,L,R,"5' 10""",176,30,52,180,160,21,37,7,0,3,14,13,1,17,46,0.231,0.309,0.331,0,0.64,53,1,1,2,0
Si Hwan Roh,Hanwha Eagles,2021,0.039301310043668124,Hanwha Eagles-2021-Si Hwan Roh,R,R,"6' 0""",211,20,107,458,380,56,103,18,1,18,84,5,2,73,107,0.271,0.387,0.466,9,0.852,177,15,1,0,4
Ho Jung Song,Hanwha Eagles,2021,0.0,Hanwha Eagles-2021-Ho Jung Song,L,R,"6' 0""",171,19,10,11,10,1,0,0,0,0,0,0,0,1,8,0.0,0.091,0.0,0,0.091,0,0,0,0,0
Jang Hyeok Yoo,Hanwha Eagles,2021,0.008928571428571428,Hanwha Eagles-2021-Jang Hyeok Yoo,R,R,"6' 1""",189,21,34,112,98,11,14,5,0,1,7,2,1,8,39,0.143,0.218,0.225,0,0.443,22,2,2,2,2
Yong Hwan Baik,Hanwha Eagles,2022,0.0,Hanwha Eagles-2022-Yong Hwan Baik,R,R,"5' 10""",209,33,4,5,5,1,1,1,0,0,0,0,0,0,1,0.2,0.2,0.4,0,0.6,2,0,0,0,0
Woo-hyuk Byun,Hanwha Eagles,2022,0.04918032786885246,Hanwha Eagles-2022-Woo-hyuk Byun,R,R,"6' 0""",209,22,21,61,61,5,16,3,0,3,8,0,0,0,21,0.262,0.262,0.459,0,0.721,28,3,0,0,0
Jae Hoon Choi,Hanwha Eagles,2022,0.011467889908256881,Hanwha Eagles-2022-Jae Hoon Choi,R,R,"5' 10""",167,32,114,436,364,38,81,14,0,5,30,1,1,44,65,0.223,0.339,0.302,0,0.641,110,17,21,5,2
Ju Suk Ha,Hanwha Eagles,2022,0.010351966873706004,Hanwha Eagles-2022-Ju Suk Ha,L,R,"6' 0""",185,28,125,483,445,50,115,18,2,5,58,20,6,31,126,0.258,0.309,0.342,1,0.651,152,4,3,1,3
Gwan Hoe Heo,Hanwha Eagles,2022,0.0,Hanwha Eagles-2022-Gwan Hoe Heo,R,R,"5' 9""",182,23,15,25,23,3,5,2,0,0,1,1,0,1,7,0.217,0.25,0.304,0,0.554,7,2,0,1,0
In Seo Heo,Hanwha Eagles,2022,0.0,Hanwha Eagles-2022-In Seo Heo,R,R,"5' 11""",205,18,8,19,18,1,3,0,0,0,0,0,0,1,8,0.167,0.211,0.167,0,0.377,3,0,0,0,0
Jin Hyuk Jang,Hanwha Eagles,2022,0.015151515151515152,Hanwha Eagles-2022-Jin Hyuk Jang,L,R,"6' 0""",182,28,41,132,116,11,27,2,0,2,17,2,1,12,28,0.233,0.298,0.302,0,0.599,35,1,0,1,3
Woon Ho Jang,Hanwha Eagles,2022,0.00684931506849315,Hanwha Eagles-2022-Woon Ho Jang,R,R,"6' 0""",187,28,57,146,122,12,29,3,0,1,15,0,2,17,24,0.238,0.34,0.287,1,0.627,35,2,3,2,2
Min Kyu Jeong,Hanwha Eagles,2022,0.0,Hanwha Eagles-2022-Min Kyu Jeong,R,R,"6' 0""",209,19,9,24,23,3,3,0,0,0,0,0,0,0,11,0.13,0.167,0.13,0,0.297,3,0,1,0,0
Eun Won Jung,Hanwha Eagles,2022,0.013311148086522463,Hanwha Eagles-2022-Eun Won Jung,L,R,"5' 9""",171,22,140,601,508,67,139,20,2,8,49,10,6,85,109,0.274,0.377,0.368,0,0.745,187,10,1,4,3
In-hwan Kim,Hanwha Eagles,2022,0.037296037296037296,Hanwha Eagles-2022-In-hwan Kim,L,R,"6' 1""",194,28,113,429,398,48,104,14,0,16,54,2,0,24,111,0.261,0.305,0.417,2,0.723,166,4,3,0,4
Tae Yean Kim,Hanwha Eagles,2022,0.015086206896551725,Hanwha Eagles-2022-Tae Yean Kim,R,R,"5' 10""",218,25,119,464,404,46,97,18,0,7,53,3,2,48,106,0.24,0.325,0.337,1,0.662,136,9,5,3,4
Kwang-Min Kwon,Hanwha Eagles,2022,0.0,Hanwha Eagles-2022-Kwang-Min Kwon,L,L,"6' 2""",210,24,32,87,71,6,16,3,1,0,8,0,1,13,30,0.225,0.345,0.296,0,0.641,21,0,1,0,2
Do Yun Lee,Hanwha Eagles,2022,0.007936507936507936,Hanwha Eagles-2022-Do Yun Lee,L,R,"5' 8""",156,25,80,126,113,9,18,7,0,1,8,3,2,8,30,0.159,0.213,0.248,0,0.461,28,1,0,4,1
Hae Chang Lee,Hanwha Eagles,2022,0.0,Hanwha Eagles-2022-Hae Chang Lee,R,R,"6' 0""",187,35,4,11,10,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0,0.0,0,1,0,1,0
Jin Young Lee,Hanwha Eagles,2022,0.03333333333333333,Hanwha Eagles-2022-Jin Young Lee,R,R,"6' 0""",180,24,70,240,220,27,44,12,1,8,31,2,2,17,90,0.2,0.254,0.373,0,0.627,82,4,0,0,3
Sung Kon Lee,Hanwha Eagles,2022,0.0,Hanwha Eagles-2022-Sung Kon Lee,L,R,"6' 1""",205,30,41,117,99,6,19,5,0,0,5,1,1,17,32,0.192,0.308,0.242,0,0.55,24,0,0,0,1
Won Seok Lee,Hanwha Eagles,2022,0.02564102564102564,Hanwha Eagles-2022-Won Seok Lee,R,R,"5' 9""",154,23,20,39,35,4,4,0,0,1,1,0,0,3,18,0.114,0.184,0.2,0,0.384,7,1,0,1,0
Jong Chan Lim,Hanwha Eagles,2022,0.03508771929824561,Hanwha Eagles-2022-Jong Chan Lim,L,R,"6' 0""",187,20,20,57,53,2,10,1,0,2,6,0,1,3,23,0.189,0.228,0.321,1,0.549,17,1,0,0,1
